artifact_id,path,artifact_kind,role,authority,derived_from,dimension_claim,notes
IMG-ARCH-001,images/01-early-build.jpg,photo,reference_archive,reference_only,,none,Workshop archival photo 2015; not dimensional authority
IMG-ARCH-002,images/01b-early-build.jpg,photo,reference_archive,reference_only,,none,Workshop archival photo 2015
IMG-ARCH-003,images/02-workshop-feb14.jpg,photo,reference_archive,reference_only,,none,Workshop archival photo Feb 14 2015
IMG-ARCH-004,images/02b-workshop-feb15.jpg,photo,reference_archive,reference_only,,none,Workshop archival photo Feb 15 2015
IMG-ARCH-005,images/03-tony-stave-set.jpg,photo,reference_archive,reference_only,,none,Stave set photo; shows nominal geometry
IMG-ARCH-006,images/04-lathe-turning-mike.jpg,photo,reference_archive,reference_only,,none,Lathe turning archival photo
IMG-ARCH-007,images/05-glue-up-cherry-staves.jpg,photo,reference_archive,reference_only,,none,Glue-up archival photo
IMG-ARCH-008,images/05b-glue-up-clamping.jpg,photo,reference_archive,reference_only,,none,Clamping jig archival photo
IMG-ARCH-009,images/05c-glue-up-finished-bodies.jpg,photo,reference_archive,reference_only,,none,Finished drum bodies archival photo; hero image in README
IMG-ARCH-010,images/2021-09-15 13.05.39.jpg,photo,reference_archive,reference_only,,none,2021 follow-up photo
IMG-ARCH-011,images/2021-09-16 12.55.57.jpg,photo,reference_archive,reference_only,,none,2021 follow-up photo
IMG-ARCH-012,images/2021-10-06 11.49.15.jpg,photo,reference_archive,reference_only,,none,2021 follow-up photo
IMG-ARCH-013,images/2021-10-07 13.28.02.jpg,photo,reference_archive,reference_only,,none,2021 follow-up photo
IMG-ARCH-014,images/2021-10-07 13.28.10.jpg,photo,reference_archive,reference_only,,none,2021 follow-up photo
IMG-ARCH-015,images/2021-10-08 15.43.55.jpg,photo,reference_archive,reference_only,,none,2021 follow-up photo
IMG-ARCH-016,images/2021-10-21 14.14.43.jpg,photo,reference_archive,reference_only,,none,2021 follow-up photo
IMG-ARCH-017,images/2021-10-22 16.16.47.jpg,photo,reference_archive,reference_only,,none,2021 follow-up photo
IMG-ARCH-018,images/2021-10-22 16.17.06.jpg,photo,reference_archive,reference_only,,none,2021 follow-up photo
IMG-ARCH-019,images/2021-12-14 12.53.09.jpg,photo,reference_archive,reference_only,,none,2021 follow-up photo
IMG-ARCH-020,images/2021-12-20 10.02.08.jpg,photo,reference_archive,reference_only,,none,2021 follow-up photo
BOM-PDF-001,BOM/Bill-of-Materials-V1.pdf,bom_document,reference_archive,reference_only,,none,Original BOM PDF from 2015 workshop; not dimensional CAD authority
BOM-PDF-002,BOM/Bill-of-Materials-V2.pdf,bom_document,reference_archive,reference_only,,none,Revised BOM PDF
BOM-PDF-003,BOM/Ashiko-BOM-Final.pdf,bom_document,reference_archive,reference_only,,none,Final BOM PDF from workshop
STAVE-PDF-001,BOM/Stave-Draft-Rounds-1-7.pdf,drawing,reference_archive,reference_only,,none,Stave iteration drawings; design intent reference only
DT-001,ashiko-drum-workshop-design-table.xlsx,design_table,design_table,fabrication,,derived_from_authority,Current dimensional authority: stave count shell OD height head diameter species BOM baseline.
BOM-001,bom.csv,bom,bom,fabrication,,derived_from_authority,Make/buy material and hardware list; mirrors build/packet/bom.csv.
SRC-001,sourcing.csv,sourcing,sourcing,fabrication,,derived_from_authority,Spec-first sourcing table; live prices not verified.
CUT-001,cut-list.csv,cut_list,cut_list,fabrication,,derived_from_authority,Rough/finish stave dimensions from design-table geometry.
MT-001,validation.csv,measurement_template,measurement_template,fabrication,,derived_from_authority,Nominal shell/head parameters + acceptance gates; measured pitch pending re-capture.
CAD-001,CAD/ashiko-drum-workshop.scad,cad_source,cad_authoring,pending_measurement,ashiko-drum-workshop-design-table.xlsx,derived_from_authority,Parametric stave-shell envelope master (n=18 facets truncated cone + head ring). foot_od/wall are assumptions; compound-miter cut out of scope. Renders clean in OpenSCAD. Not fabrication authority until reviewed against SolidWorks masters.
WL-001,wolfram/ashiko-wolfram-model.wl,wolfram_source,wolfram,derived_preview,,source_only,Membrane tension / fundamental-frequency model; source-only (not executed); L2 evidence.
